i,eV,hit_status,x_0,y_0,z_0,v_x,v_y,v_z
0,7.071025e+01,miss,53.741090,58.348096,10.363151,-7.564724e+03,-5.875078e+03,-1.572130e+03
1,1.497539e+02,miss,-7.044606,-14.697498,-78.322137,-2.252704e+03,2.157167e+03,1.377685e+04
2,3.554507e+02,miss,77.780168,17.166498,-7.453646,-2.079524e+04,-5.827883e+03,2.681502e+03
3,3.568815e+02,miss,60.829508,27.163487,-44.293521,-1.309850e+04,-1.092707e+04,1.358424e+04
4,3.759418e+02,miss,-69.816556,-11.926889,-37.194056,1.924360e+04,-2.154297e+03,1.122236e+04
5,4.908540e+02,miss,0.910003,-11.850085,79.112245,-3.111801e+03,8.863948e+03,-2.378556e+04
6,5.398943e+02,miss,2.937395,-72.888083,32.843554,5.696070e+03,2.376921e+04,-1.104199e+04
7,5.636594e+02,miss,0.381819,-18.105584,77.923309,5.036057e+03,1.673999e+03,-2.688580e+04
8,5.666944e+02,miss,-73.518964,31.043370,5.592054,2.704867e+04,-4.336808e+03,-2.148489e+03
9,6.112441e+02,miss,12.662377,21.881220,-75.900437,2.175404e+03,-5.322691e+03,2.795261e+04
10,6.468631e+02,miss,-67.388470,-1.915574,43.071158,2.170908e+04,1.223837e+03,-1.972532e+04
11,6.486502e+02,miss,15.464628,9.914339,77.862386,-1.068174e+04,1.192240e+03,-2.736293e+04
12,6.509488e+02,miss,68.127674,-40.976873,8.917170,-2.106045e+04,2.022739e+04,-3.824075e+03
13,6.516413e+02,miss,3.886808,-30.452448,73.875173,-4.448853e+03,4.643406e+03,-2.875557e+04
14,6.575414e+02,miss,-41.723531,-44.176395,-52.034538,2.026203e+04,1.111919e+04,1.849084e+04
15,7.004083e+02,miss,-27.699135,74.977564,-3.335078,1.198796e+04,-2.807940e+04,1.024029e+03
16,7.069909e+02,miss,41.977585,-64.778756,21.014165,-1.996000e+04,2.229744e+04,-6.812165e+03
17,7.634723e+02,miss,33.942484,70.207062,-17.857105,-6.553512e+03,-3.013285e+04,8.142545e+03
18,7.702561e+02,miss,-56.868556,0.543094,-56.264308,2.502799e+04,-4.573972e+03,1.946678e+04
19,7.787605e+02,miss,27.099004,-41.515503,62.786200,-5.078936e+03,2.120052e+04,-2.371392e+04
20,8.012772e+02,miss,-11.866696,76.199052,21.281119,2.287424e+03,-3.181482e+04,-7.084753e+03
21,8.048499e+02,miss,4.257924,67.077869,43.386975,-5.428228e+03,-2.864977e+04,-1.490281e+04
22,8.164363e+02,miss,-31.389612,-68.197737,27.636225,1.450554e+04,2.814349e+04,-9.237956e+03
23,8.447669e+02,miss,6.312052,-9.216022,-79.216305,2.266822e+03,1.016859e+04,3.189067e+04
24,8.456019e+02,miss,-65.819894,42.489585,-16.198048,2.419002e+04,-2.164592e+04,8.541846e+03
25,8.945053e+02,miss,45.576986,-11.368477,64.757209,-2.330738e+04,-1.236522e+03,-2.543740e+04
26,9.633670e+02,miss,-26.974249,-37.748659,-65.172300,3.339376e+03,1.889454e+04,3.025590e+04
27,9.915556e+02,miss,7.041686,23.279307,-76.213441,2.607769e+03,-3.648172e+03,3.606969e+04
28,1.005827e+03,miss,-23.776736,15.023657,-74.892967,1.522378e+04,8.928893e+02,3.328044e+04
29,1.058063e+03,miss,-21.840306,24.666841,72.900946,1.306279e+03,-9.521466e+03,-3.629575e+04
30,1.059465e+03,miss,-16.280917,5.031049,-78.164060,9.430343e+03,6.630862e+03,3.575911e+04
31,1.065212e+03,miss,28.471008,-18.339959,-72.477911,-2.052507e+04,7.451366e+03,3.069968e+04
32,1.138517e+03,miss,32.717810,-72.387345,9.466638,-2.416350e+04,3.014141e+04,-4.955972e+03
33,1.170700e+03,miss,29.125041,-57.430801,-47.470361,-5.533282e+03,2.882506e+04,2.642574e+04
34,1.212399e+03,miss,-19.541982,77.491669,-3.626584,1.426105e+03,-4.010814e+04,2.164325e+03
35,1.234503e+03,miss,42.878001,-42.042551,-52.857364,-2.573348e+04,1.228058e+04,2.884107e+04
36,1.352036e+03,miss,-1.293430,-4.617847,79.856136,-9.558045e+03,7.718269e+02,-4.134585e+04
37,1.388098e+03,miss,73.337347,31.842024,2.778328,-3.664677e+04,-2.247081e+04,-1.247460e+03
38,1.397090e+03,miss,23.461836,-13.552139,-75.272052,-5.642262e+03,1.533049e+04,3.993246e+04
39,1.424543e+03,miss,78.676501,-5.266376,13.500872,-4.313809e+04,1.499379e+03,-5.907208e+03
40,1.509497e+03,miss,-42.425051,16.881947,-65.689534,2.616109e+04,1.405363e+03,3.639851e+04
41,1.515176e+03,miss,42.536214,61.424626,-28.595207,-1.419996e+04,-3.863325e+04,1.801746e+04
42,1.538653e+03,miss,-10.977021,-76.559465,20.448797,1.845471e+03,4.270091e+04,-1.494331e+04
43,1.567615e+03,miss,21.185985,-35.104952,-68.693496,-2.094674e+03,2.499022e+04,3.820689e+04
44,1.663044e+03,miss,-34.142577,-36.162701,62.662138,1.083965e+04,2.822604e+04,-3.607777e+04
45,1.665974e+03,miss,56.655367,-19.379548,53.052828,-3.200207e+04,2.045405e+04,-2.787858e+04
46,1.687211e+03,miss,13.089955,-60.587093,50.575263,4.049638e+03,3.660752e+04,-2.985803e+04
47,1.706340e+03,miss,42.686350,-4.512966,-67.509323,-3.077869e+04,8.624644e+03,3.538060e+04
48,1.813342e+03,miss,16.867994,34.095228,70.377455,-1.181119e+04,-9.382934e+03,-4.678165e+04
49,1.968406e+03,miss,58.566679,43.478734,-32.856412,-3.070093e+04,-3.630550e+04,1.902724e+04
50,2.011761e+03,miss,1.349973,-73.061290,-32.561103,-1.273779e+04,4.434719e+04,2.348429e+04
51,2.056420e+03,miss,-12.082958,26.197890,74.616839,-4.967776e+03,-1.913907e+04,-4.846605e+04
52,2.140854e+03,miss,-54.701635,-33.752785,-47.628569,3.652448e+04,2.841407e+04,2.666537e+04
53,2.239696e+03,miss,50.269159,-60.589827,-14.208609,-3.214006e+04,4.347245e+04,7.829251e+03
54,2.301786e+03,miss,-75.719352,-13.729655,-21.864955,4.871751e+04,1.874043e+04,1.850032e+04
55,2.359412e+03,miss,-54.084270,57.430056,13.292115,3.598606e+04,-4.119524e+04,-1.231252e+04
56,2.385101e+03,miss,50.476481,27.036624,55.867216,-3.597269e+04,-2.719967e+04,-3.382326e+04
57,2.409518e+03,miss,-1.851325,-13.690917,-78.798042,1.419302e+04,4.404436e+03,5.467689e+04
58,2.458292e+03,miss,-67.789688,17.208450,-38.838478,4.174971e+04,-2.369263e+04,3.116103e+04
59,2.473944e+03,miss,41.333722,57.188088,37.696764,-3.749092e+04,-3.682590e+04,-2.311985e+04
60,2.745159e+03,miss,71.746508,6.759560,-34.738264,-4.934544e+04,-1.509876e+04,3.153824e+04
61,2.819485e+03,miss,36.998520,-7.036965,-70.580384,-3.782885e+04,8.426831e+03,4.748265e+04
62,2.828772e+03,miss,63.067289,8.807561,-48.424621,-5.277603e+04,-6.824876e+02,3.135656e+04
63,2.831446e+03,miss,0.702201,-65.349908,-46.139965,-2.058527e+02,4.305734e+04,4.380177e+04
64,2.883225e+03,miss,19.867858,0.531158,77.491845,-2.722327e+03,-9.436231e+03,-6.119729e+04
65,3.101919e+03,miss,-0.033252,-1.593388,79.984123,-1.547114e+04,-5.643798e+02,-6.239609e+04
66,3.196082e+03,miss,-48.273784,-13.703955,62.304441,3.146872e+04,-5.528969e+02,-5.716486e+04
67,3.233860e+03,miss,-15.596212,-59.683194,50.937948,1.263662e+03,5.408225e+04,-3.717870e+04
