i,eV,hit_status,x_0,y_0,z_0,v_x,v_y,v_z
0,1.144559e+05,miss,53.741090,58.348096,10.363151,-4.648998e+05,-3.610604e+05,-9.661726e+04
1,3.190174e+05,miss,-7.044606,-14.697498,-78.322137,-1.588220e+05,1.520864e+05,9.713068e+05
2,4.075056e+05,miss,77.780168,17.166498,-7.453646,-1.075547e+06,-3.014229e+05,1.386895e+05
3,5.397914e+05,miss,60.829508,27.163487,-44.293521,-7.781455e+05,-6.491471e+05,8.070022e+05
4,6.075208e+05,miss,-69.816556,-11.926889,-37.194056,1.181667e+06,-1.322861e+05,6.891171e+05
5,7.279939e+05,miss,0.910003,-11.850085,79.112245,-1.830576e+05,5.214387e+05,-1.399231e+06
6,7.651317e+05,miss,2.937395,-72.888083,32.843554,3.275498e+05,1.366838e+06,-6.349648e+05
7,7.753688e+05,miss,0.381819,-18.105584,77.923309,2.853151e+05,9.483951e+04,-1.523201e+06
8,7.928894e+05,miss,-73.518964,31.043370,5.592054,1.545490e+06,-2.477938e+05,-1.227590e+05
9,8.804091e+05,miss,12.662377,21.881220,-75.900437,1.261140e+05,-3.085706e+05,1.620487e+06
10,8.885504e+05,miss,-67.388470,-1.915574,43.071158,1.229036e+06,6.928619e+04,-1.116727e+06
11,9.610002e+05,miss,15.464628,9.914339,77.862386,-6.280392e+05,7.009845e+04,-1.608820e+06
12,9.705160e+05,hit,68.127674,-40.976873,8.917170,-1.242178e+06,1.193043e+06,-2.255500e+05
13,9.712047e+05,miss,3.886808,-30.452448,73.875173,-2.623539e+05,2.738269e+05,-1.695748e+06
14,1.034257e+06,miss,-41.723531,-44.176395,-52.034538,1.227507e+06,6.736185e+05,1.120205e+06
15,1.044386e+06,miss,-27.699135,74.977564,-3.335078,7.071126e+05,-1.656270e+06,6.040262e+04
16,1.048221e+06,miss,41.977585,-64.778756,21.014165,-1.174001e+06,1.311484e+06,-4.006759e+05
17,1.049761e+06,miss,33.942484,70.207062,-17.857105,-3.712026e+05,-1.706778e+06,4.612082e+05
18,1.091870e+06,miss,-56.868556,0.543094,-56.264308,1.439402e+06,-2.630569e+05,1.119567e+06
19,1.106354e+06,miss,27.099004,-41.515503,62.786200,-2.924194e+05,1.220618e+06,-1.365328e+06
20,1.122860e+06,miss,-11.866696,76.199052,21.281119,1.307996e+05,-1.819237e+06,-4.051208e+05
21,1.147975e+06,miss,4.257924,67.077869,43.386975,-3.131521e+05,-1.652793e+06,-8.597363e+05
22,1.152215e+06,miss,-31.389612,-68.197737,27.636225,8.323918e+05,1.614998e+06,-5.301147e+05
23,1.219718e+06,miss,6.312052,-9.216022,-79.216305,1.315731e+05,5.902153e+05,1.851030e+06
24,1.242084e+06,hit,-65.819894,42.489585,-16.198048,1.416176e+06,-1.267235e+06,5.000721e+05
25,1.308831e+06,miss,45.576986,-11.368477,64.757209,-1.361860e+06,-7.225045e+04,-1.486317e+06
26,1.317777e+06,miss,-26.974249,-37.748659,-65.172300,1.886595e+05,1.067455e+06,1.709320e+06
27,1.322491e+06,miss,7.041686,23.279307,-76.213441,1.454773e+05,-2.035173e+05,2.012188e+06
28,1.322523e+06,miss,-23.776736,15.023657,-74.892967,8.432391e+05,4.945678e+04,1.843390e+06
29,1.615225e+06,hit,-21.840306,24.666841,72.900946,7.796238e+04,-5.682676e+05,-2.166231e+06
30,1.713850e+06,miss,-16.280917,5.031049,-78.164060,5.793739e+05,4.073817e+05,2.196940e+06
31,1.741414e+06,miss,28.471008,-18.339959,-72.477911,-1.267669e+06,4.602112e+05,1.896073e+06
32,1.761104e+06,miss,32.717810,-72.387345,9.466638,-1.451680e+06,1.810818e+06,-2.977419e+05
33,1.825595e+06,hit,29.125041,-57.430801,-47.470361,-3.337726e+05,1.738754e+06,1.594025e+06
34,1.855010e+06,hit,-19.541982,77.491669,-3.626584,8.520993e+04,-2.396466e+06,1.293187e+05
35,1.866832e+06,miss,42.878001,-42.042551,-52.857364,-1.528599e+06,7.294807e+05,1.713193e+06
36,2.022339e+06,miss,-1.293430,-4.617847,79.856136,-5.646642e+05,4.559750e+04,-2.442604e+06
37,2.106029e+06,miss,73.337347,31.842024,2.778328,-2.180451e+06,-1.336993e+06,-7.422279e+04
38,2.193410e+06,hit,23.461836,-13.552139,-75.272052,-3.414990e+05,9.278805e+05,2.416919e+06
39,2.231096e+06,miss,78.676501,-5.266376,13.500872,-2.607778e+06,9.064027e+04,-3.571018e+05
40,2.243111e+06,miss,-42.425051,16.881947,-65.689534,1.540471e+06,8.275345e+04,2.143291e+06
41,2.288236e+06,miss,42.536214,61.424626,-28.595207,-8.429357e+05,-2.293340e+06,1.069549e+06
42,2.293778e+06,miss,-10.977021,-76.559465,20.448797,1.088431e+05,2.518436e+06,-8.813344e+05
43,2.353891e+06,miss,21.185985,-35.104952,-68.693496,-1.239876e+05,1.479217e+06,2.261536e+06
44,2.365010e+06,miss,-34.142577,-36.162701,62.662138,6.244079e+05,1.625934e+06,-2.078225e+06
45,2.462373e+06,miss,56.655367,-19.379548,53.052828,-1.879357e+06,1.201187e+06,-1.637201e+06
46,2.533703e+06,miss,13.089955,-60.587093,50.575263,2.397164e+05,2.166965e+06,-1.767432e+06
47,2.541162e+06,miss,42.686350,-4.512966,-67.509323,-1.814354e+06,5.084088e+05,2.085629e+06
48,2.605769e+06,hit,16.867994,34.095228,70.377455,-6.839275e+05,-5.433194e+05,-2.708895e+06
49,2.643198e+06,miss,58.566679,43.478734,-32.856412,-1.718491e+06,-2.032208e+06,1.065054e+06
50,2.664526e+06,miss,1.349973,-73.061290,-32.561103,-7.081160e+05,2.465337e+06,1.305533e+06
51,2.669783e+06,hit,-12.082958,26.197890,74.616839,-2.734214e+05,-1.053395e+06,-2.667522e+06
52,2.671489e+06,miss,-54.701635,-33.752785,-47.628569,1.970859e+06,1.533222e+06,1.438862e+06
53,2.686685e+06,hit,50.269159,-60.589827,-14.208609,-1.700391e+06,2.299939e+06,4.142117e+05
54,2.771284e+06,miss,-75.719352,-13.729655,-21.864955,2.582150e+06,9.932896e+05,9.805636e+05
55,2.772277e+06,hit,-54.084270,57.430056,13.292115,1.884253e+06,-2.157008e+06,-6.446911e+05
56,2.775036e+06,miss,50.476481,27.036624,55.867216,-1.874314e+06,-1.417206e+06,-1.762320e+06
57,2.778638e+06,hit,-1.851325,-13.690917,-78.798042,7.362311e+05,2.284702e+05,2.836240e+06
58,2.857459e+06,hit,-67.789688,17.208450,-38.838478,2.174278e+06,-1.233886e+06,1.622832e+06
59,2.876907e+06,miss,41.333722,57.188088,37.696764,-1.952911e+06,-1.918270e+06,-1.204318e+06
60,2.881212e+06,miss,71.746508,6.759560,-34.738264,-2.441964e+06,-7.471943e+05,1.560737e+06
61,2.958767e+06,hit,36.998520,-7.036965,-70.580384,-1.871897e+06,4.169877e+05,2.349600e+06
62,3.017165e+06,miss,63.067289,8.807561,-48.424621,-2.632847e+06,-3.404738e+04,1.564290e+06
63,3.021990e+06,hit,0.702201,-65.349908,-46.139965,-1.027277e+04,2.148711e+06,2.185861e+06
64,3.104596e+06,hit,19.867858,0.531158,77.491845,-1.364558e+05,-4.729881e+05,-3.067495e+06
65,3.151404e+06,hit,-0.033252,-1.593388,79.984123,-7.532645e+05,-2.747873e+04,-3.037964e+06
66,3.206174e+06,hit,-48.273784,-13.703955,62.304441,1.522482e+06,-2.674959e+04,-2.765681e+06
67,3.358108e+06,miss,-15.596212,-59.683194,50.937948,6.220223e+04,2.662134e+06,-1.830077e+06
68,3.502807e+06,hit,-9.459300,23.817569,75.784200,4.743875e+05,-1.627236e+06,-2.831417e+06
69,3.543899e+06,hit,36.295609,13.139088,70.071343,-1.705451e+06,2.427185e+05,-2.837276e+06
70,3.564877e+06,miss,-79.067152,11.098719,-5.020354,3.318785e+06,1.865939e+05,1.835143e+05
71,3.578625e+06,miss,38.959117,-67.138933,-19.353317,-1.632978e+06,2.835177e+06,6.486327e+05
72,3.633955e+06,hit,0.415138,-0.034292,79.998916,7.853879e+05,1.510871e+05,-3.264648e+06
73,3.803339e+06,hit,-58.372717,3.800767,-54.572704,1.980377e+06,-4.236196e+05,2.778999e+06
74,3.824865e+06,hit,32.032550,31.044391,66.409047,-1.753511e+06,-1.644847e+06,-2.471999e+06
75,3.864945e+06,hit,8.093611,8.189046,-79.167121,1.009565e+05,-1.051050e+06,3.301637e+06
76,4.262301e+06,miss,-4.401264,77.625787,18.837889,7.926788e+05,-3.476821e+06,-7.310428e+05
77,4.360079e+06,miss,5.271983,-78.910601,12.055012,-8.763628e+05,3.509459e+06,-6.860862e+05
78,4.502332e+06,hit,19.889645,76.589998,-11.763257,-6.711409e+05,-3.608889e+06,7.230276e+05
79,4.809856e+06,miss,-60.533004,27.603091,-44.427748,2.888594e+06,-1.824238e+06,1.811496e+06
80,4.946923e+06,hit,19.701584,-3.330635,77.464537,-8.352151e+05,-7.991903e+05,-3.747423e+06
81,5.122220e+06,hit,-0.051777,53.071740,-59.861404,-1.785608e+03,-3.086944e+06,2.528876e+06
82,5.124594e+06,hit,-3.796655,-8.292491,79.478425,3.463153e+05,1.320292e+06,-3.750829e+06
83,5.383042e+06,miss,-42.254656,-60.220302,31.433411,1.872307e+06,3.385983e+06,-1.328496e+06
84,5.730572e+06,hit,19.398042,33.240921,70.133851,-1.382129e+06,-2.323115e+06,-3.241698e+06
85,5.833046e+06,hit,70.526653,-23.329140,-29.694148,-3.368001e+06,1.700791e+06,1.974388e+06
86,5.913214e+06,hit,-2.361393,-13.221748,78.864499,-9.202877e+05,5.691021e+05,-4.148826e+06
87,6.106711e+06,hit,5.253927,2.287554,-79.794507,-7.800851e+05,8.070215e+05,4.210143e+06
88,6.261434e+06,hit,-1.733086,-40.984693,68.682249,1.133047e+06,1.873372e+06,-3.830512e+06
