i,eV,hit_status,x_0,y_0,z_0,v_x,v_y,v_z
0,1.514980e+02,miss,53.741090,58.348096,10.363151,-2.391987e+04,-1.857716e+04,-4.971120e+03
1,1.810215e+02,miss,-7.044606,-14.697498,-78.322137,-5.350367e+03,5.123458e+03,3.272121e+04
2,4.218013e+02,miss,77.780168,17.166498,-7.453646,-4.893635e+04,-1.371445e+04,6.310239e+03
3,6.178340e+02,miss,60.829508,27.163487,-44.293521,-3.723049e+04,-3.105854e+04,3.861114e+04
4,6.186883e+02,miss,-69.816556,-11.926889,-37.194056,5.332924e+04,-5.970141e+03,3.110022e+04
5,7.029429e+02,miss,0.910003,-11.850085,79.112245,-8.044499e+03,2.291471e+04,-6.148946e+04
6,7.195212e+02,miss,2.937395,-72.888083,32.843554,1.420516e+04,5.927692e+04,-2.753711e+04
7,1.242752e+03,miss,0.381819,-18.105584,77.923309,1.615392e+04,5.369606e+03,-8.624031e+04
8,1.300493e+03,miss,-73.518964,31.043370,5.592054,8.851744e+04,-1.419231e+04,-7.030985e+03
9,1.347925e+03,miss,12.662377,21.881220,-75.900437,6.978608e+03,-1.707498e+04,8.967085e+04
10,1.418586e+03,miss,-67.388470,-1.915574,43.071158,6.944905e+04,3.915150e+03,-6.310285e+04
11,1.424964e+03,miss,15.464628,9.914339,77.862386,-3.420126e+04,3.817365e+03,-8.761183e+04
12,1.561568e+03,miss,68.127674,-40.976873,8.917170,-7.046575e+04,6.767845e+04,-1.279490e+04
13,1.837678e+03,miss,3.886808,-30.452448,73.875173,-1.613919e+04,1.684498e+04,-1.043172e+05
14,1.880294e+03,miss,-41.723531,-44.176395,-52.034538,7.401808e+04,4.061886e+04,6.754782e+04
15,2.088600e+03,miss,-27.699135,74.977564,-3.335078,4.471987e+04,-1.047474e+05,3.820039e+03
16,2.092450e+03,miss,41.977585,-64.778756,21.014165,-7.417963e+04,8.286651e+04,-2.531683e+04
17,2.116681e+03,miss,33.942484,70.207062,-17.857105,-2.357266e+04,-1.083864e+05,2.928833e+04
18,2.162401e+03,miss,-56.868556,0.543094,-56.264308,9.058990e+04,-1.655569e+04,7.046086e+04
19,2.326176e+03,miss,27.099004,-41.515503,62.786200,-1.896249e+04,7.915333e+04,-8.853727e+04
20,2.338092e+03,miss,-11.866696,76.199052,21.281119,8.440913e+03,-1.174011e+05,-2.614373e+04
21,2.359179e+03,miss,4.257924,67.077869,43.386975,-2.007634e+04,-1.059614e+05,-5.511813e+04
22,2.371574e+03,miss,-31.389612,-68.197737,27.636225,5.340654e+04,1.036188e+05,-3.401233e+04
23,2.429193e+03,miss,6.312052,-9.216022,-79.216305,8.303922e+03,3.725004e+04,1.168233e+05
24,2.486251e+03,miss,-65.819894,42.489585,-16.198048,8.960436e+04,-8.018055e+04,3.164059e+04
25,2.512621e+03,miss,45.576986,-11.368477,64.757209,-8.438571e+04,-4.476898e+03,-9.209755e+04
26,2.528940e+03,miss,-26.974249,-37.748659,-65.172300,1.168805e+04,6.613221e+04,1.058978e+05
27,2.564131e+03,miss,7.041686,23.279307,-76.213441,9.059079e+03,-1.267332e+04,1.253018e+05
28,2.625771e+03,miss,-23.776736,15.023657,-74.892967,5.313645e+04,3.116504e+03,1.161607e+05
29,2.632703e+03,miss,-21.840306,24.666841,72.900946,4.451276e+03,-3.244534e+04,-1.236814e+05
30,2.875015e+03,miss,-16.280917,5.031049,-78.164060,3.355889e+04,2.359664e+04,1.272527e+05
31,2.912489e+03,miss,28.471008,-18.339959,-72.477911,-7.331656e+04,2.661664e+04,1.096607e+05
32,2.962356e+03,miss,32.717810,-72.387345,9.466638,-8.420001e+04,1.050306e+05,-1.726955e+04
33,2.988952e+03,miss,29.125041,-57.430801,-47.470361,-1.909954e+04,9.949708e+04,9.121523e+04
34,2.989821e+03,hit,-19.541982,77.491669,-3.626584,4.837875e+03,-1.360616e+05,7.342191e+03
35,3.028216e+03,miss,42.878001,-42.042551,-52.857364,-8.706613e+04,4.154987e+04,9.758027e+04
36,3.080495e+03,miss,-1.293430,-4.617847,79.856136,-3.116653e+04,2.516746e+03,-1.348191e+05
37,3.208952e+03,miss,73.337347,31.842024,2.778328,-1.203679e+05,-7.380632e+04,-4.097337e+03
38,3.290374e+03,miss,23.461836,-13.552139,-75.272052,-1.870540e+04,5.082411e+04,1.323853e+05
39,3.342446e+03,miss,78.676501,-5.266376,13.500872,-1.427443e+05,4.961457e+03,-1.954700e+04
40,3.384991e+03,miss,-42.425051,16.881947,-65.689534,8.462952e+04,4.546263e+03,1.177469e+05
41,3.387506e+03,miss,42.536214,61.424626,-28.595207,-4.586687e+04,-1.247881e+05,5.819766e+04
42,3.411217e+03,miss,-10.977021,-76.559465,20.448797,5.936015e+03,1.373488e+05,-4.806563e+04
43,3.593842e+03,miss,21.185985,-35.104952,-68.693496,-6.851403e+03,8.173974e+04,1.249697e+05
44,3.635235e+03,miss,-34.142577,-36.162701,62.662138,3.462049e+04,9.015043e+04,-1.152278e+05
45,3.705410e+03,miss,56.655367,-19.379548,53.052828,-1.031016e+05,6.589718e+04,-8.981692e+04
46,3.707592e+03,miss,13.089955,-60.587093,50.575263,1.296823e+04,1.172290e+05,-9.561496e+04
47,3.735555e+03,miss,42.686350,-4.512966,-67.509323,-9.837809e+04,2.756700e+04,1.130872e+05
48,3.830837e+03,miss,16.867994,34.095228,70.377455,-3.708548e+04,-2.946111e+04,-1.468879e+05
49,3.844566e+03,miss,58.566679,43.478734,-32.856412,-9.268751e+04,-1.096080e+05,5.744411e+04
50,3.866354e+03,miss,1.349973,-73.061290,-32.561103,-3.814699e+04,1.328104e+05,7.033048e+04
51,3.868536e+03,miss,-12.082958,26.197890,74.616839,-1.471915e+04,-5.670764e+04,-1.436013e+05
52,4.007537e+03,miss,-54.701635,-33.752785,-47.628569,1.079525e+05,8.398121e+04,7.881270e+04
53,4.017668e+03,miss,50.269159,-60.589827,-14.208609,-9.299135e+04,1.257795e+05,2.265249e+04
