i,eV,hit_status,x_0,y_0,z_0,v_x,v_y,v_z
0,1.508512e+01,miss,53.741090,58.348096,10.363151,-2.614691e+04,-2.030677e+04,-5.433951e+03
1,5.155736e+01,miss,-7.044606,-14.697498,-78.322137,-9.891326e+03,9.471835e+03,6.049232e+04
2,5.857858e+01,miss,77.780168,17.166498,-7.453646,-6.317390e+04,-1.770453e+04,8.146140e+03
3,5.996010e+01,miss,60.829508,27.163487,-44.293521,-4.017766e+04,-3.351714e+04,4.166760e+04
4,1.035627e+02,miss,-69.816556,-11.926889,-37.194056,7.558259e+04,-8.461374e+03,4.407779e+04
5,1.123271e+02,miss,0.910003,-11.850085,79.112245,-1.113966e+04,3.173126e+04,-8.514782e+04
6,1.187470e+02,miss,2.937395,-72.888083,32.843554,1.999062e+04,8.341916e+04,-3.875239e+04
7,1.301307e+02,miss,0.381819,-18.105584,77.923309,1.810782e+04,6.019087e+03,-9.667151e+04
8,1.566912e+02,miss,-73.518964,31.043370,5.592054,1.064358e+05,-1.706523e+04,-8.454250e+03
9,1.743709e+02,miss,12.662377,21.881220,-75.900437,8.694877e+03,-2.127428e+04,1.117239e+05
10,1.763901e+02,miss,-67.388470,-1.915574,43.071158,8.483328e+04,4.782428e+03,-7.708127e+04
11,1.802000e+02,miss,15.464628,9.914339,77.862386,-4.213162e+04,4.702510e+03,-1.079267e+05
12,1.938480e+02,miss,68.127674,-40.976873,8.917170,-8.600405e+04,8.260212e+04,-1.561628e+04
13,1.948410e+02,miss,3.886808,-30.452448,73.875173,-1.820446e+04,1.900056e+04,-1.176662e+05
14,1.965982e+02,miss,-41.723531,-44.176395,-52.034538,8.290969e+04,4.549831e+04,7.566218e+04
15,1.976311e+02,miss,-27.699135,74.977564,-3.335078,4.765311e+04,-1.116179e+05,4.070601e+03
16,2.024327e+02,miss,41.977585,-64.778756,21.014165,-7.992600e+04,8.928582e+04,-2.727801e+04
17,2.071876e+02,miss,33.942484,70.207062,-17.857105,-2.554779e+04,-1.174680e+05,3.174237e+04
18,2.093851e+02,miss,-56.868556,0.543094,-56.264308,9.765066e+04,-1.784608e+04,7.595272e+04
19,2.136776e+02,miss,27.099004,-41.515503,62.786200,-1.990876e+04,8.310325e+04,-9.295548e+04
20,2.188142e+02,miss,-11.866696,76.199052,21.281119,8.945138e+03,-1.244142e+05,-2.770545e+04
21,2.193919e+02,miss,4.257924,67.077869,43.386975,-2.120826e+04,-1.119356e+05,-5.822574e+04
22,2.395846e+02,miss,-31.389612,-68.197737,27.636225,5.880255e+04,1.140881e+05,-3.744882e+04
23,2.427074e+02,miss,6.312052,-9.216022,-79.216305,9.092522e+03,4.078757e+04,1.279177e+05
24,2.468630e+02,miss,-65.819894,42.489585,-16.198048,9.780819e+04,-8.752157e+04,3.453749e+04
25,2.491517e+02,miss,45.576986,-11.368477,64.757209,-9.205090e+04,-4.883557e+03,-1.004632e+05
26,2.741979e+02,miss,-26.974249,-37.748659,-65.172300,1.333200e+04,7.543388e+04,1.207926e+05
27,2.785372e+02,miss,7.041686,23.279307,-76.213441,1.034299e+04,-1.446946e+04,1.430604e+05
28,2.820826e+02,miss,-23.776736,15.023657,-74.892967,6.033133e+04,3.538490e+03,1.318893e+05
29,2.842681e+02,miss,-21.840306,24.666841,72.900946,5.066852e+03,-3.693228e+04,-1.407855e+05
30,3.029363e+02,miss,-16.280917,5.031049,-78.164060,3.773582e+04,2.653361e+04,1.430913e+05
31,3.087842e+02,miss,28.471008,-18.339959,-72.477911,-8.269669e+04,3.002198e+04,1.236908e+05
32,3.089660e+02,miss,32.717810,-72.387345,9.466638,-9.419752e+04,1.175014e+05,-1.932006e+04
33,3.112963e+02,miss,29.125041,-57.430801,-47.470361,-2.135212e+04,1.112317e+05,1.019731e+05
34,3.192364e+02,miss,-19.541982,77.491669,-3.626584,5.476195e+03,-1.540139e+05,8.310936e+03
35,3.203805e+02,miss,42.878001,-42.042551,-52.857364,-9.810236e+04,4.681660e+04,1.099492e+05
36,3.221962e+02,miss,-1.293430,-4.617847,79.856136,-3.491637e+04,2.819551e+03,-1.510400e+05
37,3.223780e+02,miss,73.337347,31.842024,2.778328,-1.321607e+05,-8.103736e+04,-4.498766e+03
38,3.348057e+02,miss,23.461836,-13.552139,-75.272052,-2.066957e+04,5.616091e+04,1.462865e+05
39,3.634656e+02,miss,78.676501,-5.266376,13.500872,-1.630605e+05,5.667602e+03,-2.232904e+04
40,3.679884e+02,miss,-42.425051,16.881947,-65.689534,9.666089e+04,5.192583e+03,1.344865e+05
41,3.682236e+02,miss,42.536214,61.424626,-28.595207,-5.238483e+04,-1.425212e+05,6.646790e+04
42,3.732454e+02,miss,-10.977021,-76.559465,20.448797,6.801868e+03,1.573831e+05,-5.507669e+04
43,3.995289e+02,miss,21.185985,-35.104952,-68.693496,-7.913430e+03,9.441011e+04,1.443411e+05
44,3.999724e+02,miss,-34.142577,-36.162701,62.662138,3.978071e+04,1.035875e+05,-1.324027e+05
45,4.046047e+02,miss,56.655367,-19.379548,53.052828,-1.180194e+05,7.543185e+04,-1.028125e+05
46,4.078325e+02,miss,13.089955,-60.587093,50.575263,1.489932e+04,1.346854e+05,-1.098529e+05
47,4.133225e+02,miss,42.686350,-4.512966,-67.509323,-1.133590e+05,3.176486e+04,1.303080e+05
48,4.150107e+02,miss,16.867994,34.095228,70.377455,-4.228413e+04,-3.359097e+04,-1.674786e+05
49,4.237714e+02,miss,58.566679,43.478734,-32.856412,-1.065992e+05,-1.260593e+05,6.606605e+04
50,4.244894e+02,miss,1.349973,-73.061290,-32.561103,-4.378582e+04,1.524423e+05,8.072663e+04
51,4.287135e+02,miss,-12.082958,26.197890,74.616839,-1.697398e+04,-6.539468e+04,-1.655996e+05
52,4.401812e+02,miss,-54.701635,-33.752785,-47.628569,1.239368e+05,9.641614e+04,9.048234e+04
53,4.441116e+02,miss,50.269159,-60.589827,-14.208609,-1.071007e+05,1.448637e+05,2.608950e+04
54,4.470669e+02,miss,-75.719352,-13.729655,-21.864955,1.606693e+05,6.180552e+04,6.101367e+04
55,4.581731e+02,miss,-54.084270,57.430056,13.292115,1.186701e+05,-1.358482e+05,-4.060260e+04
56,4.584882e+02,miss,50.476481,27.036624,55.867216,-1.180260e+05,-8.924182e+04,-1.109737e+05
57,4.636993e+02,miss,-1.851325,-13.690917,-78.798042,4.659315e+04,1.445897e+04,1.794944e+05
58,4.638601e+02,miss,-67.789688,17.208450,-38.838478,1.357138e+05,-7.701654e+04,1.012937e+05
59,4.743702e+02,miss,41.333722,57.188088,37.696764,-1.228525e+05,-1.206733e+05,-7.576048e+04
60,4.750625e+02,miss,71.746508,6.759560,-34.738264,-1.536147e+05,-4.700314e+04,9.818001e+04
61,4.771938e+02,miss,36.998520,-7.036965,-70.580384,-1.164608e+05,2.594304e+04,1.461812e+05
62,4.784454e+02,miss,63.067289,8.807561,-48.424621,-1.624232e+05,-2.100419e+03,9.650274e+04
63,4.790706e+02,miss,0.702201,-65.349908,-46.139965,-6.336455e+02,1.325369e+05,1.348284e+05
64,4.972334e+02,miss,19.867858,0.531158,77.491845,-8.460092e+03,-2.932469e+04,-1.901810e+05
65,4.976734e+02,miss,-0.033252,-1.593388,79.984123,-4.637386e+04,-1.691696e+03,-1.870287e+05
66,4.993113e+02,miss,-48.273784,-13.703955,62.304441,9.307859e+04,-1.635366e+03,-1.690830e+05
67,5.100449e+02,miss,-15.596212,-59.683194,50.937948,3.755506e+03,1.607283e+05,-1.104922e+05
68,5.104784e+02,miss,-9.459300,23.817569,75.784200,2.805559e+04,-9.623580e+04,-1.674519e+05
69,5.254313e+02,miss,36.295609,13.139088,70.071343,-1.017330e+05,1.447857e+04,-1.692484e+05
70,5.385270e+02,miss,-79.067152,11.098719,-5.020354,1.998325e+05,1.123529e+04,1.104986e+04
71,5.505748e+02,miss,38.959117,-67.138933,-19.353317,-9.922838e+04,1.722804e+05,3.941436e+04
72,5.524729e+02,miss,0.415138,-0.034292,79.998916,4.744118e+04,9.126381e+03,-1.972003e+05
73,5.712334e+02,miss,-58.372717,3.800767,-54.572704,1.188989e+05,-2.543349e+04,1.668470e+05
74,5.777939e+02,miss,32.032550,31.044391,66.409047,-1.055827e+05,-9.903974e+04,-1.488444e+05
75,5.826508e+02,miss,8.093611,8.189046,-79.167121,6.072567e+03,-6.322103e+04,1.985946e+05
76,5.888469e+02,miss,-4.401264,77.625787,18.837889,4.564382e+04,-2.002014e+05,-4.209471e+04
77,5.945686e+02,miss,5.271983,-78.910601,12.055012,-5.013527e+04,2.007704e+05,-3.924985e+04
78,5.965723e+02,miss,19.889645,76.589998,-11.763257,-3.784706e+04,-2.035129e+05,4.077306e+04
79,5.971532e+02,miss,-60.533004,27.603091,-44.427748,1.576772e+05,-9.957815e+04,9.888260e+04
80,5.981698e+02,miss,19.701584,-3.330635,77.464537,-4.499338e+04,-4.305271e+04,-2.018752e+05
81,6.027684e+02,miss,-0.051777,53.071740,-59.861404,-9.489380e+01,-1.640516e+05,1.343938e+05
82,6.029281e+02,miss,-3.796655,-8.292491,79.478425,1.840265e+04,7.015826e+04,-1.993131e+05
83,6.077237e+02,miss,-42.254656,-60.220302,31.433411,9.745897e+04,1.762502e+05,-6.915206e+04
84,6.087966e+02,miss,19.398042,33.240921,70.133851,-6.978967e+04,-1.173042e+05,-1.636874e+05
85,6.116070e+02,miss,70.526653,-23.329140,-29.694148,-1.689532e+05,8.531886e+04,9.904364e+04
86,6.205285e+02,miss,-2.361393,-13.221748,78.864499,-4.618472e+04,2.856044e+04,-2.082092e+05
87,6.343877e+02,miss,5.253927,2.287554,-79.794507,-3.895124e+04,4.029623e+04,2.102211e+05
88,6.357339e+02,miss,-1.733086,-40.984693,68.682249,5.593125e+04,9.247630e+04,-1.890877e+05
89,6.385223e+02,miss,-0.945124,30.332444,74.020603,3.341055e+04,-3.853546e+04,-2.122290e+05
90,6.400725e+02,miss,57.847282,44.978653,32.103158,-1.851341e+05,-7.520315e+04,-8.847540e+04
91,6.440658e+02,miss,-48.798408,-25.553837,-58.014798,1.292013e+05,1.984086e+04,1.759812e+05
92,6.469510e+02,miss,66.679640,-28.734759,33.587784,-1.917782e+05,7.660104e+04,-7.499770e+04
93,6.497692e+02,miss,4.657246,77.444460,19.510655,-3.410035e+04,-2.061995e+05,-6.928532e+04
94,6.521986e+02,miss,16.708559,77.931920,-6.887658,-8.530675e+03,-2.198300e+05,1.627268e+04
95,6.529559e+02,miss,-17.850745,-72.474244,28.789492,-4.041075e+03,2.068673e+05,-7.686941e+04
96,6.546462e+02,miss,0.228118,-0.778743,79.995884,-2.803322e+04,-4.406935e+04,-2.147498e+05
97,6.587038e+02,miss,12.642162,30.158330,73.011306,1.681464e+04,-9.951544e+04,-1.973883e+05
98,6.630760e+02,miss,-55.819918,-43.863613,36.879808,1.193589e+05,1.419744e+05,-1.227645e+05
99,6.638203e+02,miss,34.768965,-59.352790,40.845628,-1.388564e+05,1.282910e+05,-1.174320e+05
100,6.678785e+02,miss,51.655880,13.755532,-59.518530,-1.690414e+05,-3.823712e+04,1.406970e+05
