i,eV,hit_status,x_0,y_0,z_0,v_x,v_y,v_z
0,7.461961e+00,miss,53.741090,58.348096,10.363151,-3.475309e+03,-2.699069e+03,-7.222521e+02
1,7.461961e+00,miss,-7.044606,-14.697498,-78.322137,-7.111425e+02,6.809830e+02,4.349130e+03
2,1.453027e+01,miss,77.780168,17.166498,-7.453646,-5.946017e+03,-1.666376e+03,7.667263e+02
3,1.453027e+01,miss,60.829508,27.163487,-44.293521,-3.737759e+03,-3.118126e+03,3.876370e+03
4,1.894328e+01,miss,-69.816556,-11.926889,-37.194056,6.108979e+03,-6.838924e+02,3.562596e+03
5,1.894328e+01,miss,0.910003,-11.850085,79.112245,-8.645262e+02,2.462598e+03,-6.608149e+03
6,2.393225e+01,miss,2.937395,-72.888083,32.843554,1.696007e+03,7.077293e+03,-3.287758e+03
7,2.393225e+01,miss,0.381819,-18.105584,77.923309,1.467537e+03,4.878132e+02,-7.834682e+03
8,2.915234e+01,miss,-73.518964,31.043370,5.592054,8.676071e+03,-1.391065e+03,-6.891447e+02
9,2.915234e+01,miss,12.662377,21.881220,-75.900437,6.718683e+02,-1.643901e+03,8.633098e+03
10,2.985720e+01,miss,-67.388470,-1.915574,43.071158,6.595909e+03,3.718406e+02,-5.993179e+03
11,2.985720e+01,miss,15.464628,9.914339,77.862386,-3.240979e+03,3.617410e+02,-8.302270e+03
12,3.528144e+01,miss,68.127674,-40.976873,8.917170,-6.933977e+03,6.659700e+03,-1.259045e+03
13,3.528144e+01,miss,3.886808,-30.452448,73.875173,-1.463969e+03,1.527990e+03,-9.462498e+03
14,3.605644e+01,miss,-41.723531,-44.176395,-52.034538,6.710084e+03,3.682289e+03,6.123525e+03
15,3.605644e+01,miss,-27.699135,74.977564,-3.335078,3.846591e+03,-9.009873e+03,3.285816e+02
16,4.198380e+01,miss,41.977585,-64.778756,21.014165,-6.878751e+03,7.684293e+03,-2.347654e+03
17,4.198380e+01,miss,33.942484,70.207062,-17.857105,-2.173368e+03,-9.993081e+03,2.700346e+03
18,4.240526e+01,miss,-56.868556,0.543094,-56.264308,8.304877e+03,-1.517752e+03,6.459536e+03
19,4.240526e+01,miss,27.099004,-41.515503,62.786200,-1.676083e+03,6.996316e+03,-7.825757e+03
20,5.665948e+01,miss,-11.866696,76.199052,21.281119,8.602141e+02,-1.196436e+04,-2.664309e+03
21,5.665948e+01,miss,4.257924,67.077869,43.386975,-2.036817e+03,-1.075016e+04,-5.591933e+03
22,5.714893e+01,miss,-31.389612,-68.197737,27.636225,5.427399e+03,1.053018e+04,-3.456478e+03
23,5.714893e+01,miss,6.312052,-9.216022,-79.216305,8.338116e+02,3.740343e+03,1.173044e+04
24,5.813414e+01,miss,-65.819894,42.489585,-16.198048,8.969823e+03,-8.026454e+03,3.167374e+03
25,5.813414e+01,miss,45.576986,-11.368477,64.757209,-8.402967e+03,-4.458009e+02,-9.170897e+03
26,5.862990e+01,miss,-26.974249,-37.748659,-65.172300,1.165048e+03,6.591966e+03,1.055574e+04
27,5.862990e+01,miss,7.041686,23.279307,-76.213441,8.967784e+02,-1.254560e+03,1.240391e+04
28,6.507522e+01,miss,-23.776736,15.023657,-74.892967,5.476254e+03,3.211875e+02,1.197154e+04
29,6.507522e+01,miss,-21.840306,24.666841,72.900946,4.581451e+02,-3.339419e+03,-1.272984e+04
30,6.612625e+01,miss,-16.280917,5.031049,-78.164060,3.331855e+03,2.342765e+03,1.263413e+04
31,6.612625e+01,miss,28.471008,-18.339959,-72.477911,-7.232169e+03,2.625547e+03,1.081727e+04
32,7.351608e+01,miss,32.717810,-72.387345,9.466638,-8.683530e+03,1.083179e+04,-1.781006e+03
33,7.351608e+01,miss,29.125041,-57.430801,-47.470361,-1.960949e+03,1.021536e+04,9.365062e+03
34,7.407346e+01,miss,-19.541982,77.491669,-3.626584,4.985113e+02,-1.402026e+04,7.565646e+02
35,7.407346e+01,miss,42.878001,-42.042551,-52.857364,-8.914536e+03,4.254212e+03,9.991059e+03
36,7.520936e+01,miss,-1.293430,-4.617847,79.856136,-3.188055e+03,2.574404e+02,-1.379078e+04
37,7.520936e+01,miss,73.337347,31.842024,2.778328,-1.206359e+04,-7.397066e+03,-4.106460e+02
38,7.577311e+01,miss,23.461836,-13.552139,-75.272052,-1.858290e+03,5.049127e+03,1.315184e+04
39,7.577311e+01,miss,78.676501,-5.266376,13.500872,-1.407005e+04,4.890421e+02,-1.926713e+03
40,7.633896e+01,miss,-42.425051,16.881947,-65.689534,8.320086e+03,4.469516e+02,1.157592e+04
41,8.307739e+01,miss,42.536214,61.424626,-28.595207,-4.702319e+03,-1.279340e+04,5.966484e+03
42,8.486104e+01,miss,-10.977021,-76.559465,20.448797,6.129233e+02,1.418195e+04,-4.963017e+03
43,8.545980e+01,miss,21.185985,-35.104952,-68.693496,-6.916599e+02,8.251755e+03,1.261589e+04
44,8.545980e+01,miss,-34.142577,-36.162701,62.662138,3.475037e+03,9.048864e+03,-1.156601e+04
45,8.606067e+01,miss,56.655367,-19.379548,53.052828,-1.028635e+04,6.574499e+03,-8.960948e+03
46,8.606067e+01,miss,13.089955,-60.587093,50.575263,1.293448e+03,1.169238e+04,-9.536607e+03
47,9.258117e+01,miss,42.686350,-4.512966,-67.509323,-1.013897e+04,2.841089e+03,1.165491e+04
48,9.258117e+01,miss,16.867994,34.095228,70.377455,-3.774244e+03,-2.998301e+03,-1.494900e+04
49,9.320652e+01,miss,58.566679,43.478734,-32.856412,-9.447835e+03,-1.117257e+04,5.855401e+03
50,9.320652e+01,miss,1.349973,-73.061290,-32.561103,-3.877432e+03,1.349945e+04,7.148708e+03
51,9.509522e+01,miss,-12.082958,26.197890,74.616839,-1.510777e+03,-5.820485e+03,-1.473927e+04
52,9.509522e+01,miss,-54.701635,-33.752785,-47.628569,1.088641e+04,8.469042e+03,7.947827e+03
53,9.574574e+01,miss,50.269159,-60.589827,-14.208609,-9.397814e+03,1.271143e+04,2.289288e+03
54,9.574574e+01,miss,-75.719352,-13.729655,-21.864955,1.405165e+04,5.405324e+03,5.336071e+03
55,9.638168e+01,miss,-54.084270,57.430056,13.292115,1.028596e+04,-1.177490e+04,-3.519307e+03
56,9.638168e+01,miss,50.476481,27.036624,55.867216,-1.022661e+04,-7.732547e+03,-9.615553e+03
57,1.032578e+02,miss,-1.851325,-13.690917,-78.798042,4.155145e+03,1.289441e+03,1.600719e+04
58,1.032578e+02,miss,-67.789688,17.208450,-38.838478,1.210077e+04,-6.867092e+03,9.031740e+03
59,1.039356e+02,miss,41.333722,57.188088,37.696764,-1.086747e+04,-1.067470e+04,-6.701733e+03
60,1.039356e+02,miss,71.746508,6.759560,-34.738264,-1.357877e+04,-4.154843e+03,8.678623e+03
61,1.045981e+02,miss,36.998520,-7.036965,-70.580384,-1.030422e+04,2.295389e+03,1.293383e+04
62,1.072693e+02,miss,63.067289,8.807561,-48.424621,-1.453418e+04,-1.879527e+02,8.635395e+03
63,1.079424e+02,miss,0.702201,-65.349908,-46.139965,-5.684124e+01,1.188924e+04,1.209479e+04
64,1.079424e+02,miss,19.867858,0.531158,77.491845,-7.449238e+02,-2.582083e+03,-1.674572e+04
65,1.138418e+02,miss,-0.033252,-1.593388,79.984123,-4.191534e+03,-1.529052e+02,-1.690472e+04
66,1.138418e+02,miss,-48.273784,-13.703955,62.304441,8.399164e+03,-1.475710e+02,-1.525760e+04
67,1.145352e+02,miss,-15.596212,-59.683194,50.937948,3.363215e+02,1.439390e+04,-9.895050e+03
68,1.145352e+02,miss,-9.459300,23.817569,75.784200,2.511431e+03,-8.614665e+03,-1.498966e+04
